,Model,Colour,Memory,RAM,Battery,Rear_camera_mp,Front_Camera_mp,AI Lens,Mobile Height,Processor,Price
256,REDMI Note 12,Lunar Black,128,6,5000,50,13,0,16.94,Snapdragon 685,16999
257,OPPO A17,Sunlight Orange,64,4,5000,50,5,0,16.66,Mediatek Helio G35,12499
258,OPPO A17,Midnight Black,64,4,5000,50,5,0,16.66,Mediatek Helio G35,12499
259,POCO X5 Pro 5G,Yellow,128,6,5000,108,16,0,16.94,Qualcomm Snapdragon 778G,21999
260,realme 9 Pro+ 5G,Aurora Green,256,8,4500,50,16,0,16.26,Mediatek Dimensity 920,21999
261,realme 9 Pro+ 5G,Midnight Black,256,8,4500,50,16,0,16.26,Mediatek Dimensity 920,21999
262,REDMI 11 Prime,Playful Green,64,4,5000,50,8,0,16.71,Helio G99,9999
263,REDMI Note 12 Pro 5G,Glacier Blue,256,8,5000,50,16,0,16.94,Mediatek Dimensity 1080,26999
264,REDMI Note 12 Pro 5G,Onyx Black,128,6,5000,50,16,0,16.94,Mediatek Dimensity 1080,23999
265,REDMI Note 12,Ice Blue,128,6,5000,50,13,0,16.94,Snapdragon 685,16999
266,realme Narzo 30,Racing Silver,64,4,5000,48,16,0,16.51,MediaTek Helio G95,13499
267,POCO X5 Pro 5G,Astral Black,128,6,5000,108,16,0,16.94,Qualcomm Snapdragon 778G,21999
273,MOTOROLA G32,Mineral Gray,64,4,5000,50,16,0,16.64,Qualcomm Snapdragon 680,10999
274,MOTOROLA g72,Meteorite Grey,128,6,5000,108,16,0,16.64,Mediatek Helio G99,16999
275,Micromax IN 2C,Brown,32,3,5000,8,5,0,16.56,Unisoc T610,5999
276,vivo Y16,Drizzling Gold,128,4,5000,13,5,0,16.54,Mediatek Helio P35,12990
278,POCO X4 Pro 5G,Yellow,64,6,5000,64,16,0,16.94,Qualcomm Snapdragon 695 5G,16499
279,POCO F5 5G,Carbon Black,256,8,5000,64,16,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),29999
280,realme 9 Pro+ 5G,Sunrise Blue,256,8,4500,50,16,0,16.26,Mediatek Dimensity 920,21999
281,realme Narzo 50i,Carbon Black,32,2,5000,8,5,0,16.51,SC9863A,6978
282,realme Narzo 50i,Mint Green,32,2,5000,8,5,0,16.51,SC9863A,7370
284,MOTOROLA e13,Creamy White,64,2,5000,13,5,0,16.51,Unisoc T606,6799
285,SAMSUNG Galaxy F23 5G,Forest Green,128,4,5000,50,8,0,16.76,Qualcomm Snapdragon 750G,15999
287,POCO M4 Pro 5G,Cool Blue,128,6,5000,50,16,0,16.76,Mediatek Dimensity 810,16999
288,MOTOROLA g42,Atlantic Green,64,4,5000,50,16,0,16.43,Qualcomm Snapdragon 680,13999
289,POCO M4 5G,Cool Blue,128,6,5000,50,8,0,16.71,Mediatek Dimensity 700,13999
290,realme C33,Night Sea,32,3,5000,50,5,0,16.51,Unisoc T612,8999
291,realme C33,Aqua Blue,32,3,5000,50,5,0,16.51,Unisoc T612,8999
292,realme Narzo 50i Prime,Dark Blue,64,4,5000,8,5,0,16.51,Unisoc T612 processor,8995
295,realme 8,Punk Black,128,4,5000,64,16,0,16.26,MediaTek Helio G95,13499
296,realme C33,Night Sea,64,4,5000,50,5,0,16.51,Unisoc T612,9999
297,realme C33,Sandy Gold,64,4,5000,50,5,0,16.51,Unisoc T612,9999
298,realme C33,Aqua Blue,64,4,5000,50,5,0,16.51,Unisoc T612,9999
299,realme 8,Cyber Black,128,8,5000,64,16,0,16.26,MediaTek Helio G95,15499
300,vivo Y35,Dawn Gold,128,8,5000,50,16,0,16.71,Qualcomm Snapdragon 680,16999
301,vivo Y35,Agate Black,128,8,5000,50,16,0,16.71,Qualcomm Snapdragon 680,16999
303,MOTOROLA g72,Polar Blue,128,6,5000,108,16,0,16.64,Mediatek Helio G99,16999
304,MOTOROLA g52,Charcoal Grey,64,4,5000,50,16,0,16.76,Qualcomm Snapdragon 680,11249
306,REDMI K50i 5G,Quick Silver,128,6,5080,64,16,0,16.76,Dimensity 8100,21174
310,Tecno Spark 9,Infinity Black,64,4,5000,13,8,0,16.76,MediaTek Helio G37,7993
311,Tecno Spark 9,Sky Mirror,64,4,5000,13,8,0,16.76,MediaTek Helio G37,8069
314,SAMSUNG Galaxy A14 5G,Dark Red,64,4,5000,50,13,0,16.76,SEC S5E8535 (Exynos 1330),16499
315,MOTOROLA g13,Matte Charcoal,64,4,5000,50,8,0,16.51,Helio G85,9499
316,REDMI Note 12 Pro 5G,Glacier Blue,128,8,5000,50,16,0,16.94,Mediatek Dimensity 1080,25999
317,POCO F5 5G,Electric Blue,256,8,5000,64,16,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),29999
318,SAMSUNG Galaxy A14 5G,Black,128,6,5000,50,13,0,16.76,SEC S5E8535 (Exynos 1330),18999
320,SAMSUNG Galaxy A14 5G,Light Green,128,6,5000,50,13,0,16.76,SEC S5E8535 (Exynos 1330),18999
322,SAMSUNG Galaxy F23 5G,Aqua Blue,128,4,5000,50,8,0,16.76,Qualcomm Snapdragon 750G,15999
323,POCO C31,Shadow Gray,64,4,5000,13,5,0,16.59,MediaTek Helio G35,8999
325,POCO X2,Atlantis Blue,64,6,4500,64,20,0,16.94,Qualcomm Snapdragon 730G,17999
326,POCO F5 5G,Snowstorm White,256,6,5000,64,16,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),32999
328,nothing phone 1,White,128,8,4500,50,16,0,16.64,Qualcomm Snapdragon 778G+,30499
329,Google Pixel 6a,chalk,128,8,4500,50,16,0,16.64,Qualcomm Snapdragon 778G+,30999
330,I Kall Z19Pro Flash blue,Flash Blue,64,4,5000,13,8,0,16.51,Octa Core,7999
331,MOTOROLA G32,Satin Silver,64,4,5000,50,16,0,16.64,Qualcomm Snapdragon 680,10999
